;ANNEE1;REGION;SALAIRE;REGION_NOM
1483;2023;R32;26565;Hauts-de-France
1484;2023;R11;37151;Île-de-France
1485;2023;R28;26379;Normandie
1486;2023;R75;26630;Nouvelle-Aquitaine
1487;2023;R76;26901;Occitanie
1488;2023;R52;26364;Pays de la Loire
1489;2023;R93;27991;Provence-Alpes-Côte d_Azur
1490;2023;R1;27325;Guadeloupe
1491;2023;R2;27299;Martinique
1492;2023;R3;27557;Guyane
1493;2023;R4;25435;La Réunion
1494;2023;E;33785;Ensemble
1495;2023;R84;33140;Auvergne-Rhône-Alpes
1496;2023;R27;30068;Bourgogne-Franche-Comté
1497;2023;R53;30658;Bretagne
1498;2023;R24;30935;Centre-Val de Loire
1499;2023;R94;29192;Corse
1500;2023;R44;30922;Grand Est
1501;2023;R32;30947;Hauts-de-France
1502;2023;R11;41893;Île-de-France
1503;2023;R28;30885;Normandie
1504;2023;R75;30727;Nouvelle-Aquitaine
1505;2023;R76;31292;Occitanie
1506;2023;R52;30853;Pays de la Loire
1507;2023;R93;32974;Provence-Alpes-Côte d_Azur
1508;2023;R1;29468;Guadeloupe
1509;2023;R2;29564;Martinique
1510;2023;R3;29857;Guyane
1511;2023;R4;26926;La Réunion
