"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"973";"DEP";"ENTIND_X_MICRO";"BURE";2015;371
"A";"41";"DEP";"ENTIND_X_MICRO";"BURE";2022;556
"A";"44";"DEP";"54";"BURE";2023;1943
"A";"2A";"DEP";"54";"BURE";2024;166
"A";"09";"DEP";"57";"BURE";2024;224
"A";"06";"REG";"MICRO";"BURE";2023;693
"A";"93";"DEP";"_T";"BURE";2012;15558
"A";"78";"DEP";"OTH_SIDE";"BURE";2023;194
"A";"27";"DEP";"MICRO";"BURE";2024;4608
"A";"81";"DEP";"OTH_SIDE";"BURE";2023;49
"A";"44";"DEP";"ENTIND_X_MICRO";"BURE";2023;2372
"A";"17";"DEP";"MICRO";"BURE";2023;5882
"A";"24";"DEP";"MICRO";"BURE";2022;3549
"A";"33";"DEP";"ENTIND_X_MICRO";"BURE";2013;4277
"A";"28";"REG";"OTH_SIDE";"BURE";2015;576
"A";"05";"DEP";"OTH_SIDE";"BURE";2014;25
"A";"84";"DEP";"54";"BURE";2013;1036
"A";"81";"DEP";"MICRO";"BURE";2014;1738
"A";"35";"DEP";"OTH_SIDE";"BURE";2012;226
"A";"59";"DEP";"ENTIND_X_MICRO";"BURE";2014;4023
"A";"28";"REG";"54";"BURE";2012;3608
"A";"64";"DEP";"MICRO";"BURE";2013;2840
"A";"53";"REG";"MICRO";"BURE";2013;10091
"A";"14";"DEP";"54";"BURE";2014;797
"A";"28";"DEP";"MICRO";"BURE";2012;1288
"A";"66";"DEP";"_T";"BURE";2014;5268
"A";"76";"DEP";"_T";"BURE";2023;13639
"A";"F";"FRANCE";"54";"BURE";2014;94604
"A";"41";"DEP";"_T";"BURE";2015;2100
"A";"01";"REG";"_T";"BURE";2020;5605
"A";"2A";"DEP";"_T";"BURE";2017;2121
"A";"06";"REG";"_T";"BURE";2023;1749
"A";"10";"DEP";"_T";"BURE";2022;3559
"A";"41";"DEP";"_T";"BURE";2017;2211
"A";"10";"DEP";"_T";"BURE";2016;1778
"A";"89";"DEP";"_T";"BURE";2019;2974
"A";"972";"DEP";"_T";"BURE";2020;5822
"A";"41";"DEP";"OTH_SIDE";"BURE";2020;54
"A";"81";"DEP";"OTH_SIDE";"BURE";2021;43
"A";"85";"DEP";"MICRO";"BURE";2019;3019
"A";"01";"REG";"57";"BURE";2021;1842
