creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
7.57,7.775,60.450625,13.86,0.53,26395.0,2017,Pays de la Loire
8.11,7.375,54.390625,13.86,0.63,25125.0,2018,Pays de la Loire
8.11,7.375,54.390625,13.86,0.63,22410.0,2018,Pays de la Loire
8.11,7.375,54.390625,13.86,0.63,27011.0,2018,Pays de la Loire
9.55,7.05,49.7025,13.86,0.66,25807.0,2019,Pays de la Loire
9.55,7.05,49.7025,13.86,0.66,23115.0,2019,Pays de la Loire
9.55,7.05,49.7025,13.86,0.66,27692.0,2019,Pays de la Loire
9.93,7.025,49.35062500000001,13.86,0.67,26582.0,2020,Pays de la Loire
9.93,7.025,49.35062500000001,13.86,0.67,23910.0,2020,Pays de la Loire
9.93,7.025,49.35062500000001,13.86,0.67,28457.0,2020,Pays de la Loire
12.02,6.55,42.902499999999996,13.86,0.57,26646.0,2021,Pays de la Loire
12.02,6.55,42.902499999999996,13.86,0.57,24034.0,2021,Pays de la Loire
12.02,6.55,42.902499999999996,13.86,0.57,28481.0,2021,Pays de la Loire
12.01,5.9,34.81,13.86,0.65,27832.0,2022,Pays de la Loire
12.01,5.9,34.81,13.86,0.65,25237.0,2022,Pays de la Loire
12.01,5.9,34.81,13.86,0.65,29679.0,2022,Pays de la Loire
11.52,5.75,33.0625,13.86,0.5,28983.0,2023,Pays de la Loire
11.52,5.75,33.0625,13.86,0.5,26364.0,2023,Pays de la Loire
11.52,5.75,33.0625,13.86,0.5,30853.0,2023,Pays de la Loire
6.55,8.9,79.21000000000001,14.97,0.53,23663.0,2015,Bretagne
6.55,8.9,79.21000000000001,14.97,0.53,20981.0,2015,Bretagne
6.55,8.9,79.21000000000001,14.97,0.53,25575.0,2015,Bretagne
6.71,8.65,74.8225,14.97,0.38,23858.0,2016,Bretagne
6.71,8.65,74.8225,14.97,0.38,21211.0,2016,Bretagne
6.71,8.65,74.8225,14.97,0.38,25753.0,2016,Bretagne
7.15,7.925,62.805625,14.97,0.37,24320.0,2017,Bretagne
7.15,7.925,62.805625,14.97,0.37,21789.0,2017,Bretagne
7.15,7.925,62.805625,14.97,0.37,26125.0,2017,Bretagne
8.0,7.525,56.62562500000001,14.97,0.5,24859.0,2018,Bretagne
8.0,7.525,56.62562500000001,14.97,0.5,22357.0,2018,Bretagne
8.0,7.525,56.62562500000001,14.97,0.5,26647.0,2018,Bretagne
9.06,7.025,49.35062500000001,14.97,0.58,25512.0,2019,Bretagne
9.06,7.025,49.35062500000001,14.97,0.58,23019.0,2019,Bretagne
9.06,7.025,49.35062500000001,14.97,0.58,27295.0,2019,Bretagne
9.13,6.825,46.580625000000005,14.97,0.57,26389.0,2020,Bretagne
9.13,6.825,46.580625000000005,14.97,0.57,23883.0,2020,Bretagne
9.13,6.825,46.580625000000005,14.97,0.57,28173.0,2020,Bretagne
11.25,6.4,40.96000000000001,14.97,0.61,26493.0,2021,Bretagne
11.25,6.4,40.96000000000001,14.97,0.61,23971.0,2021,Bretagne
11.25,6.4,40.96000000000001,14.97,0.61,28294.0,2021,Bretagne
11.42,5.825,33.930625,14.97,0.83,27605.0,2022,Bretagne
11.42,5.825,33.930625,14.97,0.83,25110.0,2022,Bretagne
11.42,5.825,33.930625,14.97,0.83,29416.0,2022,Bretagne
11.22,5.925,35.105624999999996,14.97,0.51,28786.0,2023,Bretagne
11.22,5.925,35.105624999999996,14.97,0.51,26217.0,2023,Bretagne
11.22,5.925,35.105624999999996,14.97,0.51,30658.0,2023,Bretagne
8.43,9.725,94.57562499999999,14.41,0.55,23921.0,2015,Nouvelle-Aquitaine
8.43,9.725,94.57562499999999,14.41,0.55,21427.0,2015,Nouvelle-Aquitaine
8.43,9.725,94.57562499999999,14.41,0.55,25746.0,2015,Nouvelle-Aquitaine
8.67,9.45,89.30249999999998,14.41,0.41,24074.0,2016,Nouvelle-Aquitaine
8.67,9.45,89.30249999999998,14.41,0.41,21582.0,2016,Nouvelle-Aquitaine
8.67,9.45,89.30249999999998,14.41,0.41,25906.0,2016,Nouvelle-Aquitaine
9.55,8.775,77.000625,14.41,0.36,24513.0,2017,Nouvelle-Aquitaine
9.55,8.775,77.000625,14.41,0.36,22096.0,2017,Nouvelle-Aquitaine
9.55,8.775,77.000625,14.41,0.36,26277.0,2017,Nouvelle-Aquitaine
10.74,8.325,69.30562499999999,14.41,0.38,25105.0,2018,Nouvelle-Aquitaine
10.74,8.325,69.30562499999999,14.41,0.38,22670.0,2018,Nouvelle-Aquitaine
10.74,8.325,69.30562499999999,14.41,0.38,26890.0,2018,Nouvelle-Aquitaine
12.16,7.75,60.0625,14.41,0.51,25758.0,2019,Nouvelle-Aquitaine
12.16,7.75,60.0625,14.41,0.51,23366.0,2019,Nouvelle-Aquitaine
12.16,7.75,60.0625,14.41,0.51,27516.0,2019,Nouvelle-Aquitaine
12.41,7.375,54.390625,14.41,0.39,26609.0,2020,Nouvelle-Aquitaine
12.41,7.375,54.390625,14.41,0.39,24254.0,2020,Nouvelle-Aquitaine
12.41,7.375,54.390625,14.41,0.39,28338.0,2020,Nouvelle-Aquitaine
14.67,7.075,50.055625,14.41,0.59,26672.0,2021,Nouvelle-Aquitaine
14.67,7.075,50.055625,14.41,0.59,24348.0,2021,Nouvelle-Aquitaine
14.67,7.075,50.055625,14.41,0.59,28377.0,2021,Nouvelle-Aquitaine
14.56,6.5,42.25,14.41,0.73,27785.0,2022,Nouvelle-Aquitaine
14.56,6.5,42.25,14.41,0.73,25461.0,2022,Nouvelle-Aquitaine
14.56,6.5,42.25,14.41,0.73,29522.0,2022,Nouvelle-Aquitaine
14.19,6.4,40.96000000000001,14.41,0.42,28971.0,2023,Nouvelle-Aquitaine
14.19,6.4,40.96000000000001,14.41,0.42,26630.0,2023,Nouvelle-Aquitaine
14.19,6.4,40.96000000000001,14.41,0.42,30727.0,2023,Nouvelle-Aquitaine
9.48,12.075,145.805625,17.03,0.76,24762.0,2015,Occitanie
9.48,12.075,145.805625,17.03,0.76,21803.0,2015,Occitanie
9.48,12.075,145.805625,17.03,0.76,26908.0,2015,Occitanie
9.89,11.7,136.89,17.03,0.59,24883.0,2016,Occitanie
9.89,11.7,136.89,17.03,0.59,21999.0,2016,Occitanie
9.89,11.7,136.89,17.03,0.59,26980.0,2016,Occitanie
10.42,10.925,119.35562500000002,17.03,0.63,25358.0,2017,Occitanie
10.42,10.925,119.35562500000002,17.03,0.63,22613.0,2017,Occitanie
10.42,10.925,119.35562500000002,17.03,0.63,27344.0,2017,Occitanie
11.55,10.475,109.725625,17.03,0.69,25858.0,2018,Occitanie
11.55,10.475,109.725625,17.03,0.69,23039.0,2018,Occitanie
11.55,10.475,109.725625,17.03,0.69,27894.0,2018,Occitanie
13.46,9.9,98.01,17.03,0.81,26455.0,2019,Occitanie
13.46,9.9,98.01,17.03,0.81,23734.0,2019,Occitanie
13.46,9.9,98.01,17.03,0.81,28418.0,2019,Occitanie
13.82,9.375,87.890625,17.03,0.69,27294.0,2020,Occitanie
13.82,9.375,87.890625,17.03,0.69,24623.0,2020,Occitanie
13.82,9.375,87.890625,17.03,0.69,29232.0,2020,Occitanie
16.23,9.275,86.025625,17.03,0.81,27193.0,2021,Occitanie
16.23,9.275,86.025625,17.03,0.81,24646.0,2021,Occitanie
16.23,9.275,86.025625,17.03,0.81,29045.0,2021,Occitanie
15.85,8.675,75.25562500000001,17.03,0.97,28289.0,2022,Occitanie
15.85,8.675,75.25562500000001,17.03,0.97,25769.0,2022,Occitanie
15.85,8.675,75.25562500000001,17.03,0.97,30142.0,2022,Occitanie
15.75,8.725,76.125625,17.03,0.67,29426.0,2023,Occitanie
15.75,8.725,76.125625,17.03,0.67,26901.0,2023,Occitanie
15.75,8.725,76.125625,17.03,0.67,31292.0,2023,Occitanie
8.55,8.975,80.550625,18.03,0.73,25846.0,2015,Auvergne-Rhône-Alpes
8.55,8.975,80.550625,18.03,0.73,22609.0,2015,Auvergne-Rhône-Alpes
8.55,8.975,80.550625,18.03,0.73,28078.0,2015,Auvergne-Rhône-Alpes
9.0,8.775,77.000625,18.03,0.5,26095.0,2016,Auvergne-Rhône-Alpes
9.0,8.775,77.000625,18.03,0.5,22867.0,2016,Auvergne-Rhône-Alpes
9.0,8.775,77.000625,18.03,0.5,28332.0,2016,Auvergne-Rhône-Alpes
9.91,8.125,66.015625,18.03,0.4,26601.0,2017,Auvergne-Rhône-Alpes
9.91,8.125,66.015625,18.03,0.4,23487.0,2017,Auvergne-Rhône-Alpes
9.91,8.125,66.015625,18.03,0.4,28744.0,2017,Auvergne-Rhône-Alpes
11.14,7.725,59.675625,18.03,0.58,27209.0,2018,Auvergne-Rhône-Alpes
11.14,7.725,59.675625,18.03,0.58,24077.0,2018,Auvergne-Rhône-Alpes
11.14,7.725,59.675625,18.03,0.58,29373.0,2018,Auvergne-Rhône-Alpes
13.21,7.3,53.29,18.03,0.61,27841.0,2019,Auvergne-Rhône-Alpes
13.21,7.3,53.29,18.03,0.61,24794.0,2019,Auvergne-Rhône-Alpes
13.21,7.3,53.29,18.03,0.61,29953.0,2019,Auvergne-Rhône-Alpes
13.6,7.1,50.41,18.03,0.44,28789.0,2020,Auvergne-Rhône-Alpes
13.6,7.1,50.41,18.03,0.44,25799.0,2020,Auvergne-Rhône-Alpes
